model,picp,mpiw,pinaw,cwc,winkler
TL-QLDMR,0.9614457831325302,28.825536590588747,0.2998567892088377,0.2998567892088377,35.63068533030862
LDMR-Quantile (SymVar),0.9518072289156626,29.113791956494634,0.30285535710092604,0.30285535710092604,38.236956884517056
TLQLDMR-NoTransfer,0.9590361445783132,29.602952100410512,0.30794383098596856,0.30794383098596856,38.34742214340531
TLQLDMR-NoMMD,0.9590361445783132,29.113791956494637,0.3028553571009261,0.3028553571009261,37.24780226507874
TLQLDMR-UnweightedTarget,0.9566265060240964,33.604039467776126,0.34956502362367997,0.34956502362367997,47.95223813334897
