model,rmse,mae,mape,r2
TL-QLDMR,7.4764484693294815,5.347596705870183,8602009.93099875,0.9552614159669438
LDMR-Quantile (SymVar),7.567863102211968,5.323693773182765,9598571.890125278,0.9541606890552536
TLQLDMR-NoTransfer,7.910585795233257,5.0029308452576045,35698123.06661528,0.9499148664455677
TLQLDMR-NoMMD,8.126816073245907,5.917303966216333,9029402.861521801,0.9471393611219788
TLQLDMR-UnweightedTarget,9.008566344628397,6.034909567641569,55855208.700714655,0.9350464475435512
