solver,loglog_slope,loglog_intercept,loglog_r2
batch_sgd,0.35464646115133863,-0.3134969024161439,0.9279650877388552
cvxopt,1.0492815408285792,-2.4885401235831943,0.7803393151222484
fast_nystrom,0.6255443079462796,-2.097950238850201,0.7524139310465072
torch_gd,0.5988148204635118,-1.0393539482557117,0.6653917443223829
