model,picp,mpiw,pinaw,cwc,winkler
TL-QLDMR,0.9614457831325302,28.825536590588747,0.2998567892088377,0.2998567892088377,35.63068533030862
Standard-SVQR,0.9590361445783132,34.341932518252605,0.3572409341899947,0.3572409341899947,42.06712035445472
TSVQR,0.9590361445783132,34.341932518252605,0.3572409341899947,0.3572409341899947,42.06712035445472
NuSVR-CI,0.946987951807229,31.95120861376171,0.33237149969976193,0.4326854338843622,44.97647268188613
NFS-SVQR,0.9518072289156626,70.2764543375549,0.7310487313363939,0.7310487313363939,76.31588705104618
UQSVM-SSVQR,0.9566265060240964,82.76623017746445,0.8609732539735941,0.8609732539735941,84.99193804915316
